datetime,teamperature,humidity
2022-02-19  03:59:48,21,37
2022-02-19  04:00:21,21,37
2022-02-19  04:00:55,21,37
2022-02-19  04:01:29,21,37
2022-02-19  04:02:02,21,37
2022-02-19  04:02:36,21,37
2022-02-19  04:03:09,21,37
2022-02-19  04:03:43,21,37
2022-02-19  04:04:16,21,37
2022-02-19  04:04:50,21,37
2022-02-19  04:05:23,21,37
2022-02-19  04:05:57,21,37
2022-02-19  04:06:30,21,37
2022-02-19  04:07:04,21,37
2022-02-19  04:07:37,21,37
2022-02-19  04:08:11,21,37
2022-02-19  04:08:44,21,37
2022-02-19  04:09:18,21,37
2022-02-19  04:09:51,21,37
2022-02-19  04:10:25,21,37
2022-02-19  04:10:58,20,36
2022-02-19  04:11:32,21,37
2022-02-19  04:12:05,21,37
2022-02-19  04:12:39,21,37
2022-02-19  04:13:12,20,36
2022-02-19  04:13:46,21,37
2022-02-19  04:14:19,21,37
2022-02-19  04:14:53,21,37
2022-02-19  04:15:26,21,37
2022-02-19  04:16:00,21,37
2022-02-19  04:16:33,20,36
2022-02-19  04:17:07,20,36
2022-02-19  04:17:40,21,37
2022-02-19  04:18:14,21,37
2022-02-19  04:18:47,20,36
2022-02-19  04:19:21,20,36
2022-02-19  04:19:54,20,36
2022-02-19  04:20:28,20,36
2022-02-19  04:21:01,21,37
2022-02-19  04:21:35,20,36
2022-02-19  04:22:08,20,36
2022-02-19  04:22:42,21,37
2022-02-19  04:23:15,21,37
2022-02-19  04:23:49,21,37
2022-02-19  04:24:22,21,37
2022-02-19  04:24:56,20,36
2022-02-19  04:25:29,21,37
2022-02-19  04:26:03,20,36
2022-02-19  04:26:36,20,36
2022-02-19  04:27:10,20,36
2022-02-19  04:27:43,20,36
2022-02-19  04:28:17,20,36
2022-02-19  04:28:51,20,36
2022-02-19  04:29:24,20,36
2022-02-19  04:29:58,20,36
2022-02-19  04:30:31,20,36
2022-02-19  04:31:05,20,36
2022-02-19  04:31:38,20,36
2022-02-19  04:32:12,20,36
2022-02-19  04:32:45,20,36
2022-02-19  04:33:19,20,36
2022-02-19  04:33:52,20,36
2022-02-19  04:34:26,20,36
2022-02-19  04:34:59,20,36
2022-02-19  04:35:33,20,36
2022-02-19  04:36:06,20,36
2022-02-19  04:36:40,20,36
2022-02-19  04:37:13,20,36
2022-02-19  04:37:47,20,36
2022-02-19  04:38:20,20,36
2022-02-19  04:38:54,20,36
2022-02-19  04:39:27,20,36
2022-02-19  04:40:01,20,36
2022-02-19  04:40:34,20,36
2022-02-19  04:41:08,20,36
2022-02-19  04:41:41,20,36
2022-02-19  04:42:15,20,36
2022-02-19  04:42:48,20,36
2022-02-19  04:43:22,20,36
2022-02-19  04:43:55,20,36
2022-02-19  04:44:29,20,36
2022-02-19  04:45:02,20,36
2022-02-19  04:45:36,20,36
2022-02-19  04:46:09,20,36
2022-02-19  04:46:43,20,36
2022-02-19  04:47:16,20,36
2022-02-19  04:47:50,20,36
2022-02-19  04:48:23,20,36
2022-02-19  04:48:57,20,36
2022-02-19  04:49:30,20,36
2022-02-19  04:50:04,20,36
2022-02-19  04:50:37,20,36
2022-02-19  04:51:11,20,36
2022-02-19  04:51:44,20,36
2022-02-19  04:52:18,20,36
2022-02-19  04:52:51,20,36
2022-02-19  04:53:25,20,36
2022-02-19  04:53:58,20,36
2022-02-19  04:54:32,20,36
2022-02-19  04:55:05,20,36
2022-02-19  04:55:39,20,36
2022-02-19  04:56:12,20,36
2022-02-19  04:56:46,20,36
2022-02-19  04:57:19,20,36
2022-02-19  04:57:53,20,36
2022-02-19  04:58:26,20,36
2022-02-19  04:59:00,20,36
2022-02-19  04:59:33,20,36
2022-02-19  05:00:07,20,36
2022-02-19  05:00:40,20,36
2022-02-19  05:01:14,20,36
2022-02-19  05:01:47,20,36
2022-02-19  05:02:21,20,36
2022-02-19  05:02:54,20,36
2022-02-19  05:03:28,20,36
2022-02-19  05:04:01,20,36
2022-02-19  05:04:35,20,36
2022-02-19  05:05:08,20,36
2022-02-19  05:05:42,20,36
2022-02-19  05:06:15,20,36
2022-02-19  05:06:49,20,36
2022-02-19  05:07:22,20,36
2022-02-19  05:07:56,20,36
2022-02-19  05:08:29,20,36
2022-02-19  05:09:03,20,36
2022-02-19  05:09:36,20,36
2022-02-19  05:10:10,20,36
2022-02-19  05:10:43,20,36
2022-02-19  05:11:17,20,36
2022-02-19  05:11:50,20,36
2022-02-19  05:12:24,20,36
2022-02-19  05:12:57,20,36
2022-02-19  05:13:31,20,36
2022-02-19  05:14:04,20,36
2022-02-19  05:14:38,20,36
2022-02-19  05:15:11,20,36
2022-02-19  05:15:45,20,36
2022-02-19  05:16:18,20,36
2022-02-19  05:16:52,20,36
2022-02-19  05:17:25,20,36
2022-02-19  05:17:59,20,36
2022-02-19  05:18:32,20,36
2022-02-19  05:19:06,20,36
2022-02-19  05:19:39,20,36
2022-02-19  05:20:13,20,36
2022-02-19  05:20:46,20,36
2022-02-19  05:21:20,20,36
2022-02-19  05:21:53,20,36
2022-02-19  05:22:27,20,36
2022-02-19  05:23:00,20,36
2022-02-19  05:23:34,20,36
2022-02-19  05:24:07,20,36
2022-02-19  05:24:41,20,36
2022-02-19  05:25:14,20,36
2022-02-19  05:25:48,20,36
2022-02-19  05:26:21,20,36
2022-02-19  05:26:55,20,36
2022-02-19  05:27:28,20,36
2022-02-19  05:28:02,20,36
2022-02-19  05:28:35,20,36
2022-02-19  05:29:09,20,36
2022-02-19  05:29:42,20,36
2022-02-19  05:30:16,20,36
2022-02-19  05:30:49,20,36
2022-02-19  05:31:23,20,36
2022-02-19  05:31:56,20,36
2022-02-19  05:32:30,20,36
2022-02-19  05:33:03,20,36
2022-02-19  05:33:37,20,36
2022-02-19  05:34:10,20,36
2022-02-19  05:34:44,20,36
2022-02-19  05:35:18,20,36
2022-02-19  05:35:51,20,36
2022-02-19  05:36:25,20,36
2022-02-19  05:36:58,20,36
2022-02-19  05:37:32,20,36
2022-02-19  05:38:05,20,36
2022-02-19  05:38:39,20,36
2022-02-19  05:39:12,20,36
2022-02-19  05:39:46,20,36
2022-02-19  05:40:19,20,36
2022-02-19  05:40:53,20,36
2022-02-19  05:41:26,20,36
2022-02-19  05:42:00,20,36
2022-02-19  05:42:33,20,36
2022-02-19  05:43:07,20,36
2022-02-19  05:43:40,20,36
2022-02-19  05:44:14,20,36
2022-02-19  05:44:47,20,36
2022-02-19  05:45:21,20,36
2022-02-19  05:45:54,20,36
2022-02-19  05:46:28,20,36
